match_id,match_end_time,team,hero,role,kills,deaths,duration_sec,region,patch_version,commentary_text
1,2026-04-27T09:41:00,T2,hero_02,support,2,1,1283,KR,7.35b,"In this match between T2 and a rival on patch 7.35b, the hero_02 support ended with 2 kills and 1 deaths. The team coordinated objectives effectively and used the hero_02 ultimate ability to swing crucial team fights. Match duration was approximately 1283 seconds."
1,2026-04-27T09:41:00,T2,hero_12,hard_support,1,35,1714,KR,7.35b,"In this match between T2 and a rival on patch 7.35b, the hero_12 hard_support ended with 1 kills and 35 deaths. The team coordinated objectives effectively and used the hero_12 ultimate ability to swing crucial team fights. Match duration was approximately 1714 seconds."
1,2026-04-27T09:41:00,T2,hero_31,hard_support,26,14,2739,KR,7.35b,"In this match between T2 and a rival on patch 7.35b, the hero_31 hard_support ended with 26 kills and 14 deaths. The team coordinated objectives effectively and used the hero_31 ultimate ability to swing crucial team fights. Match duration was approximately 2739 seconds."
1,2026-04-27T09:41:00,T2,hero_15,carry,10,27,2293,KR,7.35b,"In this match between T2 and a rival on patch 7.35b, the hero_15 carry ended with 10 kills and 27 deaths. The team coordinated objectives effectively and used the hero_15 ultimate ability to swing crucial team fights. Match duration was approximately 2293 seconds."
1,2026-04-27T09:41:00,T2,hero_01,mid,21,6,1279,KR,7.35b,"In this match between T2 and a rival on patch 7.35b, the hero_01 mid ended with 21 kills and 6 deaths. The team coordinated objectives effectively and used the hero_01 ultimate ability to swing crucial team fights. Match duration was approximately 1279 seconds."
2,2026-03-07T08:24:00,G2,hero_15,hard_support,18,23,3264,SEA,7.34b,"In this match between G2 and a rival on patch 7.34b, the hero_15 hard_support ended with 18 kills and 23 deaths. The team coordinated objectives effectively and used the hero_15 ultimate ability to swing crucial team fights. Match duration was approximately 3264 seconds."
2,2026-03-07T08:24:00,G2,hero_03,carry,2,14,2085,SEA,7.34b,"In this match between G2 and a rival on patch 7.34b, the hero_03 carry ended with 2 kills and 14 deaths. The team coordinated objectives effectively and used the hero_03 ultimate ability to swing crucial team fights. Match duration was approximately 2085 seconds."
2,2026-03-07T08:24:00,G2,hero_21,mid,6,24,2038,SEA,7.34b,"In this match between G2 and a rival on patch 7.34b, the hero_21 mid ended with 6 kills and 24 deaths. The team coordinated objectives effectively and used the hero_21 ultimate ability to swing crucial team fights. Match duration was approximately 2038 seconds."
2,2026-03-07T08:24:00,G2,hero_45,offlane,10,23,2355,SEA,7.34b,"In this match between G2 and a rival on patch 7.34b, the hero_45 offlane ended with 10 kills and 23 deaths. The team coordinated objectives effectively and used the hero_45 ultimate ability to swing crucial team fights. Match duration was approximately 2355 seconds."
2,2026-03-07T08:24:00,G2,hero_06,offlane,4,10,3087,SEA,7.34b,"In this match between G2 and a rival on patch 7.34b, the hero_06 offlane ended with 4 kills and 10 deaths. The team coordinated objectives effectively and used the hero_06 ultimate ability to swing crucial team fights. Match duration was approximately 3087 seconds."
