2001,2026-02-27T10:04:00,Secret,hero_42,offlane,29,33,1707,SEA,7.34,"In this match between Secret and a rival on patch 7.34, the hero_42 offlane ended with 29 kills and 33 deaths. The team coordinated objectives effectively and used the hero_42 ultimate ability to swing crucial team fights. Match duration was approximately 1707 seconds."
2001,2026-02-27T10:04:00,Secret,hero_13,support,33,6,1422,SEA,7.34,"In this match between Secret and a rival on patch 7.34, the hero_13 support ended with 33 kills and 6 deaths. The team coordinated objectives effectively and used the hero_13 ultimate ability to swing crucial team fights. Match duration was approximately 1422 seconds."
2001,2026-02-27T10:04:00,Secret,hero_04,offlane,14,9,2240,SEA,7.34,"In this match between Secret and a rival on patch 7.34, the hero_04 offlane ended with 14 kills and 9 deaths. The team coordinated objectives effectively and used the hero_04 ultimate ability to swing crucial team fights. Match duration was approximately 2240 seconds."
2001,2026-02-27T10:04:00,Secret,hero_10,carry,2,4,3501,SEA,7.34,"In this match between Secret and a rival on patch 7.34, the hero_10 carry ended with 2 kills and 4 deaths. The team coordinated objectives effectively and used the hero_10 ultimate ability to swing crucial team fights. Match duration was approximately 3501 seconds."
2001,2026-02-27T10:04:00,Secret,hero_01,carry,11,15,967,SEA,7.34,"In this match between Secret and a rival on patch 7.34, the hero_01 carry ended with 11 kills and 15 deaths. The team coordinated objectives effectively and used the hero_01 ultimate ability to swing crucial team fights. Match duration was approximately 967 seconds."
2002,2026-04-06T13:25:00,OG,hero_09,support,22,8,1289,SEA,7.35b,"In this match between OG and a rival on patch 7.35b, the hero_09 support ended with 22 kills and 8 deaths. The team coordinated objectives effectively and used the hero_09 ultimate ability to swing crucial team fights. Match duration was approximately 1289 seconds."
2002,2026-04-06T13:25:00,OG,hero_23,carry,28,17,2262,SEA,7.35b,"In this match between OG and a rival on patch 7.35b, the hero_23 carry ended with 28 kills and 17 deaths. The team coordinated objectives effectively and used the hero_23 ultimate ability to swing crucial team fights. Match duration was approximately 2262 seconds."
2002,2026-04-06T13:25:00,OG,hero_16,carry,22,3,1041,SEA,7.35b,"In this match between OG and a rival on patch 7.35b, the hero_16 carry ended with 22 kills and 3 deaths. The team coordinated objectives effectively and used the hero_16 ultimate ability to swing crucial team fights. Match duration was approximately 1041 seconds."
2002,2026-04-06T13:25:00,OG,hero_10,hard_support,5,4,3389,SEA,7.35b,"In this match between OG and a rival on patch 7.35b, the hero_10 hard_support ended with 5 kills and 4 deaths. The team coordinated objectives effectively and used the hero_10 ultimate ability to swing crucial team fights. Match duration was approximately 3389 seconds."
2002,2026-04-06T13:25:00,OG,hero_01,support,7,20,2966,SEA,7.35b,"In this match between OG and a rival on patch 7.35b, the hero_01 support ended with 7 kills and 20 deaths. The team coordinated objectives effectively and used the hero_01 ultimate ability to swing crucial team fights. Match duration was approximately 2966 seconds."
2003,2026-03-09T15:00:00,Secret,hero_02,offlane,6,10,1561,KR,7.34,"In this match between Secret and a rival on patch 7.34, the hero_02 offlane ended with 6 kills and 10 deaths. The team coordinated objectives effectively and used the hero_02 ultimate ability to swing crucial team fights. Match duration was approximately 1561 seconds."
2003,2026-03-09T15:00:00,Secret,hero_29,offlane,3,4,1365,KR,7.34,"In this match between Secret and a rival on patch 7.34, the hero_29 offlane ended with 3 kills and 4 deaths. The team coordinated objectives effectively and used the hero_29 ultimate ability to swing crucial team fights. Match duration was approximately 1365 seconds."
2003,2026-03-09T15:00:00,Secret,hero_44,hard_support,29,21,1145,KR,7.34,"In this match between Secret and a rival on patch 7.34, the hero_44 hard_support ended with 29 kills and 21 deaths. The team coordinated objectives effectively and used the hero_44 ultimate ability to swing crucial team fights. Match duration was approximately 1145 seconds."
2003,2026-03-09T15:00:00,Secret,hero_39,mid,25,29,1070,KR,7.34,"In this match between Secret and a rival on patch 7.34, the hero_39 mid ended with 25 kills and 29 deaths. The team coordinated objectives effectively and used the hero_39 ultimate ability to swing crucial team fights. Match duration was approximately 1070 seconds."
2003,2026-03-09T15:00:00,Secret,hero_01,carry,31,15,,KR,7.34,"In this match between Secret and a rival on patch 7.34, the hero_01 carry ended with 31 kills and 15 deaths. The team coordinated objectives effectively and used the hero_01 ultimate ability to swing crucial team fights. Match duration was approximately unknown seconds."
2004,2026-04-23T05:24:00,Liquid,hero_02,carry,17,23,1353,KR,7.34b,"In this match between Liquid and a rival on patch 7.34b, the hero_02 carry ended with 17 kills and 23 deaths. The team coordinated objectives effectively and used the hero_02 ultimate ability to swing crucial team fights. Match duration was approximately 1353 seconds."
2004,2026-04-23T05:24:00,Liquid,hero_09,offlane,24,34,2954,KR,7.34b,"In this match between Liquid and a rival on patch 7.34b, the hero_09 offlane ended with 24 kills and 34 deaths. The team coordinated objectives effectively and used the hero_09 ultimate ability to swing crucial team fights. Match duration was approximately 2954 seconds."
2004,2026-04-23T05:24:00,Liquid,hero_08,carry,31,20,2577,KR,7.34b,"In this match between Liquid and a rival on patch 7.34b, the hero_08 carry ended with 31 kills and 20 deaths. The team coordinated objectives effectively and used the hero_08 ultimate ability to swing crucial team fights. Match duration was approximately 2577 seconds."
2004,2026-04-23T05:24:00,Liquid,hero_45,hard_support,22,35,1831,KR,7.34b,"In this match between Liquid and a rival on patch 7.34b, the hero_45 hard_support ended with 22 kills and 35 deaths. The team coordinated objectives effectively and used the hero_45 ultimate ability to swing crucial team fights. Match duration was approximately 1831 seconds."
2004,2026-04-23T05:24:00,Liquid,hero_34,offlane,34,15,2289,KR,7.34b,"In this match between Liquid and a rival on patch 7.34b, the hero_34 offlane ended with 34 kills and 15 deaths. The team coordinated objectives effectively and used the hero_34 ultimate ability to swing crucial team fights. Match duration was approximately 2289 seconds."
2005,2026-01-12T21:50:00,Gen.G,hero_02,hard_support,3,22,1650,CN,7.34b,"In this match between Gen.G and a rival on patch 7.34b, the hero_02 hard_support ended with 3 kills and 22 deaths. The team coordinated objectives effectively and used the hero_02 ultimate ability to swing crucial team fights. Match duration was approximately 1650 seconds."
2005,2026-01-12T21:50:00,Gen.G,hero_42,mid,19,30,,CN,7.34b,"In this match between Gen.G and a rival on patch 7.34b, the hero_42 mid ended with 19 kills and 30 deaths. The team coordinated objectives effectively and used the hero_42 ultimate ability to swing crucial team fights. Match duration was approximately unknown seconds."
2005,2026-01-12T21:50:00,Gen.G,hero_29,hard_support,4,30,3155,CN,7.34b,"In this match between Gen.G and a rival on patch 7.34b, the hero_29 hard_support ended with 4 kills and 30 deaths. The team coordinated objectives effectively and used the hero_29 ultimate ability to swing crucial team fights. Match duration was approximately 3155 seconds."
2005,2026-01-12T21:50:00,Gen.G,hero_28,support,12,24,2006,CN,7.34b,"In this match between Gen.G and a rival on patch 7.34b, the hero_28 support ended with 12 kills and 24 deaths. The team coordinated objectives effectively and used the hero_28 ultimate ability to swing crucial team fights. Match duration was approximately 2006 seconds."
2005,2026-01-12T21:50:00,Gen.G,hero_16,offlane,33,21,2972,CN,7.34b,"In this match between Gen.G and a rival on patch 7.34b, the hero_16 offlane ended with 33 kills and 21 deaths. The team coordinated objectives effectively and used the hero_16 ultimate ability to swing crucial team fights. Match duration was approximately 2972 seconds."
2006,2026-01-19T06:27:00,OG,hero_50,support,8,29,1192,NA,7.34b,"In this match between OG and a rival on patch 7.34b, the hero_50 support ended with 8 kills and 29 deaths. The team coordinated objectives effectively and used the hero_50 ultimate ability to swing crucial team fights. Match duration was approximately 1192 seconds."
2006,2026-01-19T06:27:00,OG,hero_05,support,6,2,2067,NA,7.34b,"In this match between OG and a rival on patch 7.34b, the hero_05 support ended with 6 kills and 2 deaths. The team coordinated objectives effectively and used the hero_05 ultimate ability to swing crucial team fights. Match duration was approximately 2067 seconds."
2006,2026-01-19T06:27:00,OG,hero_04,carry,15,1,2836,NA,7.34b,"In this match between OG and a rival on patch 7.34b, the hero_04 carry ended with 15 kills and 1 deaths. The team coordinated objectives effectively and used the hero_04 ultimate ability to swing crucial team fights. Match duration was approximately 2836 seconds."
2006,2026-01-19T06:27:00,OG,hero_47,offlane,14,35,2499,NA,7.34b,"In this match between OG and a rival on patch 7.34b, the hero_47 offlane ended with 14 kills and 35 deaths. The team coordinated objectives effectively and used the hero_47 ultimate ability to swing crucial team fights. Match duration was approximately 2499 seconds."
2006,2026-01-19T06:27:00,OG,hero_01,hard_support,4,20,3450,NA,7.34b,"In this match between OG and a rival on patch 7.34b, the hero_01 hard_support ended with 4 kills and 20 deaths. The team coordinated objectives effectively and used the hero_01 ultimate ability to swing crucial team fights. Match duration was approximately 3450 seconds."
2007,2026-03-26T23:56:00,OG,hero_11,support,0,3,3032,KR,7.34,"In this match between OG and a rival on patch 7.34, the hero_11 support ended with 0 kills and 3 deaths. The team coordinated objectives effectively and used the hero_11 ultimate ability to swing crucial team fights. Match duration was approximately 3032 seconds."
2007,2026-03-26T23:56:00,OG,hero_07,offlane,29,20,2188,KR,7.34,"In this match between OG and a rival on patch 7.34, the hero_07 offlane ended with 29 kills and 20 deaths. The team coordinated objectives effectively and used the hero_07 ultimate ability to swing crucial team fights. Match duration was approximately 2188 seconds."
2007,2026-03-26T23:56:00,OG,hero_31,support,19,33,1307,KR,7.34,"In this match between OG and a rival on patch 7.34, the hero_31 support ended with 19 kills and 33 deaths. The team coordinated objectives effectively and used the hero_31 ultimate ability to swing crucial team fights. Match duration was approximately 1307 seconds."
2007,2026-03-26T23:56:00,OG,hero_37,offlane,15,16,2049,KR,7.34,"In this match between OG and a rival on patch 7.34, the hero_37 offlane ended with 15 kills and 16 deaths. The team coordinated objectives effectively and used the hero_37 ultimate ability to swing crucial team fights. Match duration was approximately 2049 seconds."
2007,2026-03-26T23:56:00,OG,hero_14,hard_support,10,25,2533,KR,7.34,"In this match between OG and a rival on patch 7.34, the hero_14 hard_support ended with 10 kills and 25 deaths. The team coordinated objectives effectively and used the hero_14 ultimate ability to swing crucial team fights. Match duration was approximately 2533 seconds."
2008,2026-02-09T10:39:00,Liquid,hero_23,mid,12,17,3421,NA,7.34,"In this match between Liquid and a rival on patch 7.34, the hero_23 mid ended with 12 kills and 17 deaths. The team coordinated objectives effectively and used the hero_23 ultimate ability to swing crucial team fights. Match duration was approximately 3421 seconds."
2008,2026-02-09T10:39:00,Liquid,hero_08,carry,20,21,1638,NA,7.34,"In this match between Liquid and a rival on patch 7.34, the hero_08 carry ended with 20 kills and 21 deaths. The team coordinated objectives effectively and used the hero_08 ultimate ability to swing crucial team fights. Match duration was approximately 1638 seconds."
2008,2026-02-09T10:39:00,Liquid,hero_06,hard_support,10,29,2788,NA,7.34,"In this match between Liquid and a rival on patch 7.34, the hero_06 hard_support ended with 10 kills and 29 deaths. The team coordinated objectives effectively and used the hero_06 ultimate ability to swing crucial team fights. Match duration was approximately 2788 seconds."
2008,2026-02-09T10:39:00,Liquid,hero_13,support,5,12,2413,NA,7.34,"In this match between Liquid and a rival on patch 7.34, the hero_13 support ended with 5 kills and 12 deaths. The team coordinated objectives effectively and used the hero_13 ultimate ability to swing crucial team fights. Match duration was approximately 2413 seconds."
2008,2026-02-09T10:39:00,Liquid,hero_01,hard_support,26,7,2506,NA,7.34,"In this match between Liquid and a rival on patch 7.34, the hero_01 hard_support ended with 26 kills and 7 deaths. The team coordinated objectives effectively and used the hero_01 ultimate ability to swing crucial team fights. Match duration was approximately 2506 seconds."
